Year,Month,Day,Begin,High,Low,End,Result,Adj_end
2021,4,16,8575,8578,8490,8530,3332000,8530
2021,4,15,8550,8596,8521,8564,4361100,8564
2021,4,14,8467,8514,8416,8485,4412700,8485
2021,4,13,8452,8561,8448,8507,4691600,8507
2021,4,12,8448,8514,8435,8435,3945600,8435
2021,4,9,8430,8524,8404,8418,6017900,8418
2021,4,8,8498,8498,8390,8418,4517200,8418
2021,4,7,8474,8548,8405,8487,5939200,8487
2021,4,6,8570,8570,8341,8366,5452400,8366
2021,4,5,8495,8504,8421,8461,4077000,8461
2021,4,2,8510,8595,8432,8462,4337300,8462
2021,4,1,8694,8695,8402,8423,6583900,8423
2021,3,31,8464,8649,8441,8616,10984000,8616
2021,3,30,8413,8421,8227,8362,7354100,8362
2021,3,29,8490,8512,8381,8465,9227700,8465
2021,3,26,8277,8376,8235,8359,5764500,8359
2021,3,25,8228,8245,8132,8157,6280200,8157
2021,3,24,8245,8305,8113,8120,7527400,8120
2021,3,23,8407,8469,8304,8304,6071300,8304
2021,3,22,8553,8560,8362,8362,8722800,8362
2021,3,19,8645,8712,8608,8644,9905500,8644
2021,3,18,8402,8650,8394,8650,14952300,8650
2021,3,17,8210,8308,8133,8308,5359100,8308
2021,3,16,8333,8333,8218,8269,5700200,8269
2021,3,15,8211,8340,8210,8340,6452800,8340
2021,3,12,8070,8145,8018,8145,6505000,8145
2021,3,11,8154,8179,8060,8091,5823500,8091
2021,3,10,8200,8213,8105,8128,5727400,8128
2021,3,9,8089,8189,8020,8189,8117000,8189
2021,3,8,8089,8147,7922,7961,6899200,7961
2021,3,5,7910,7969,7786,7969,6787000,7969
2021,3,4,8000,8002,7804,7922,5452000,7922
2021,3,3,7979,8024,7905,7971,4346700,7971
2021,3,2,7999,8015,7840,7923,4895400,7923
2021,3,1,7911,7935,7851,7925,3896400,7925
2021,2,26,7948,7977,7834,7873,7526800,7873
2021,2,25,8055,8111,8018,8018,4732800,8018
2021,2,24,8138,8138,7880,7891,6561000,7891
2021,2,22,8147,8175,8048,8060,3828600,8060
2021,2,19,8050,8077,7990,8065,4137300,8065
2021,2,18,8300,8310,8051,8093,7024200,8093
2021,2,17,8300,8302,8184,8247,4495700,8247
2021,2,16,8465,8466,8270,8303,7766000,8303
2021,2,12,8395,8465,8335,8456,6536100,8456
2021,2,11,8335,8497,8259,8413,12687800,8413
2021,2,10,8010,8250,8005,8130,15500200,8130
2021,2,9,8080,8100,7937,7994,6844800,7994
2021,2,8,7999,8080,7989,8037,7479700,8037
2021,2,5,7893,7974,7856,7922,7834100,7922
2021,2,4,7800,7870,7713,7759,5049900,7759
2021,2,3,7590,7788,7580,7782,9568000,7782
2021,2,2,7360,7455,7298,7455,5446300,7455
2021,2,1,7278,7317,7216,7294,6047800,7294
2021,1,29,7450,7470,7300,7300,7525000,7300
2021,1,28,7303,7462,7298,7397,21611800,7397
2021,1,27,7517,7539,7465,7528,7091200,7528
2021,1,26,7545,7588,7500,7500,6908600,7500
2021,1,25,7682,7682,7624,7677,3994000,7677
2021,1,22,7700,7748,7660,7660,4527900,7660
2021,1,21,7718,7818,7712,7744,5262000,7744
2021,1,20,7708,7723,7606,7686,4427900,7686
2021,1,19,7660,7746,7651,7708,4189700,7708
2021,1,18,7733,7739,7602,7636,3897400,7636
2021,1,15,7806,7833,7720,7733,6085000,7733
2021,1,14,7810,7877,7790,7863,5417600,7863
2021,1,13,7850,7867,7809,7846,5014800,7846
2021,1,12,7892,7929,7831,7892,5355100,7892
2021,1,8,7824,7939,7822,7939,6160500,7939
2021,1,7,7910,7912,7818,7818,5625900,7818
2021,1,6,7834,7877,7797,7818,4398600,7818
2021,1,5,7850,7912,7796,7812,5857100,7812
2021,1,4,8030,8030,7892,7928,4277400,7928
